SSN,Fname, Lname, Location,Scrap_id
100100100, Evie, Joron, 029 Lakeland Street, 1
100100101, Hugh, Tipple,14 Melody Center, 2
100100102, Arnaldo, Earney, 96 Prentice Point, 3
100100103, Laurent, Grugerr,3795 Porter Trail, 4
171262236, Art, Hardesty, 75509 Walton Plaza, 5
210367707, Lotti, Wesson,442 Gateway Alley, 6
216603587, Rochette, Garrals, 15 Burning Wood Plaz, 7
237178483, Charlene, Cameron,209 Lotheville Stree, 1
257825921, Khalil, Mildmott, 43284 Aberg Point, 2
269636885, Carree, Dredge, 526 Westerfield Driv, 3
291448142, Whitby, Czaja, 55 Waxwing Trail, 4
326200947, Suzanna, Wyldish,7865 Memorial Street, 5
349610901, Perle, Augustin, 6 Del Mar Terrace, 6
359291322, Nikoletta, Pippin, 1403 Eagan Plaza, 6
383952728, Vanessa, Rootham, 67142 6th Lane, 7
434148279, Vernon, Cholton, 7693 Sutherland Aven, 1
440297970, Putnam, Noyes, 15857 Kim Plaza, 2
453162391, Shepperd, Colcomb,72138 Crownhardt Poi, 3
485793231, Bonnibelle, Woolfoot, 8658 Bunker Hill Pla, 4
489332811, Susanne, Kleinhausen, 83940 Green Way, 5
492991604, Nadiya, Brownsmith, 88 Banding Alley, 7
509547414, Darlleen, Dunlap, 48309 Bay Point, 1
541389983, Chanda, Witling, 80 Northfield Drive, 2
566625392, Linnet, Rushe, 8 Moulton Lane, 3
578460656, Trudey, Handrick, 166 Mosinee Plaza, 4
596522145, Ebeneser, Hailey, 27 Park Meadow Place, 5
155129400, Liesa, Hawkswell, 92249 Debra Pass, 6
628667517, Jaye, Welling, 29 Redwing Hill, 7
635945508, Manfred, Asmus, 10 Coleman Road, 1
648147692, Starlene, Lemmanbie,49006 Green Ridge St, 2
676131029, Cad, Caplis, 0147 Vermont Hill, 3
695570654, Alva, Scedall, 43 Dapin Pass, 4
718909746, Torrence, Minigo,7443 Hansons Street, 5
723868147, Ellwood, Vermer, 387 Vermont Crossing, 6
734804828, Fredi, Benedek, 25 Raven Court, 7
754766128, Damaris, Chaplin, 27 Tennessee Point, 1
756438300, Elston, Baine, 5 Northfield Alley, 2
765920811, Karie, Shorthill, 9945 Talmadge Street, 3
769989954, Lauryn, Boyle, 6 Trailsway Crossing, 4
770105620, Jaymie, Slinn, 0477 Park Meadow Poi, 5
785580903, Alley,Radleigh, 1048 Kropf Place, 6
819472549, Artair, Tothacot, 20548 Sutteridge Cir, 7
836742727, Cecilius, Cundy, 853 Blue Bill Park R, 1
846492251, Cedric, Eagar, 4996 Harbort Alley, 2
861415185, Roma, Leadbeatter, 4 Dakota Road, 3
870870641, Rozanna, Ridsdale, 155 Southridge Stree, 4
871216153, Angie, Szwandt, 10 International Hil, 5
873252391, Gillian, Storkes, 141 Briar Crest Cent, 6
880026169, Garwin, Tinsley, 295 Bay Junction, 7
898956730, Travus, Jozwicki, 5743 Fuller Pass, 1
